491	1.00
492	1.00
493	1.00
494	1.00
591	1.00
691	1.00
692	1.00
693	1.00
791	1.00
792	1.00
793	1.00
794	1.00
795	1.00
1091	1.00
1092	1.00
1093	1.00
1094	1.00
1095	1.00
1304	1.00
1306	1.00
1307	1.00
1308	1.00
1309	1.00
1310	1.00
1334	1.00
1901	1.00
1902	1.00
1903	1.00
1904	1.00
1905	1.00
1906	1.00
2091	1.00
2092	1.00
2093	1.00
2094	1.00
2191	1.00
2192	1.00
2206	1.00
2207	1.00
2291	1.00
2306	1.00
2307	1.00
2491	1.00
2492	1.00
2494	1.00
2495	1.00
2591	1.00
2592	1.00
2593	1.00
2594	1.00
2595	1.00
2596	1.00
2597	1.00
2598	1.00
3090	1.00
3091	1.00
3190	1.00
3191	1.00
3290	1.00
3291	1.00
3390	1.00
3391	1.00
3490	1.00
3491	1.00
3590	1.00
3591	1.00
3595	1.00
3596	1.00
3690	1.00
3691	1.00
3790	1.00
3791	1.00
3890	1.00
3891	1.00
3960	1.00
3961	1.00
3962	1.00
3963	1.00
3964	1.00
5161	1.00
5162	1.00
5163	1.00
6005	1.00
6009	1.00
6051	1.00
6109	1.00
6116	1.00
6151	1.00
6193	1.00
6207	1.00
6391	1.00
6392	1.00
6407	1.00
6408	1.00
6415	1.00
6416	1.00
6417	1.00
6418	1.00
6419	1.00
6430	1.00
6431	1.00
6432	1.00
6433	1.00
6434	1.00
6435	1.00
6436	1.00
6437	1.00
6438	1.00
6500	1.00
6501	1.00
6502	1.00
6503	1.00
6504	1.00
9002	1.00
9003	1.00
9005	1.00
9008	1.00
9012	1.00
9013	1.00
9014	1.00
20007	1.00
20009	1.00
20015	1.00
20016	1.00
20047	1.00
20048	1.00
20049	1.00
20050	1.00
20051	1.00
20052	1.00
20053	1.00
20054	1.00
20055	1.00
20056	1.00
20057	1.00
20058	1.00
20059	1.00
20091	1.00
20104	1.00
20105	1.00
20106	1.00
20107	1.00
20108	1.00
20109	1.00
20110	1.00
20111	1.00
20112	1.00
20113	1.00
20114	1.00
20115	1.00
20116	1.00
20117	1.00
20118	1.00
20119	1.00
20120	1.00
20121	1.00
20122	1.00
20123	1.00
20124	1.00
20125	1.00
20201	1.00
20202	1.00
20203	1.00
20204	1.00
20205	1.00
20206	1.00
20207	1.00
20208	1.00
20209	1.00
20210	1.00
20211	1.00
20212	1.00
20213	1.00
20214	1.00
20215	1.00
20216	1.00
20217	1.00
20218	1.00
20219	1.00
20220	1.00
20221	1.00
20222	1.00
20223	1.00
20224	1.00
20225	1.00
20226	1.00
20227	1.00
20228	1.00
20229	1.00
20230	1.00
20231	1.00
20232	1.00
20233	1.00
20234	1.00
20235	1.00
20236	1.00
20237	1.00
20238	1.00
20239	1.00
20240	1.00
20241	1.00
20242	1.00
20243	1.00
20244	1.00
20245	1.00
20246	1.00
20247	1.00
20248	1.00
20249	1.00
20250	1.00
20251	1.00
20252	1.00
20254	1.00
20255	1.00
20257	1.00
20258	1.00
20259	1.00
20260	1.00
20261	1.00
20262	1.00
20263	1.00
20264	1.00
20265	1.00
20266	1.00
20267	1.00
20268	1.00
20269	1.00
20270	1.00
20271	1.00
20272	1.00
20273	1.00
20274	1.00
20275	1.00
20276	1.00
20277	1.00
20422	1.00
30301	1.00
30302	1.00
30303	1.00
30304	1.00
30305	1.00
30306	1.00
30309	1.00
30310	1.00
30311	1.00
30312	1.00
30313	1.00
34001	1.00
34002	1.00
34003	1.00
34004	1.00
34005	1.00
34006	1.00
34007	1.00
34008	1.00
34009	1.00
34010	1.00
34011	1.00
34012	1.00
34013	1.00
34014	1.00
34015	1.00
34016	1.00
34017	1.00
34018	1.00
34019	1.00
34020	1.00
34021	1.00
34022	1.00
34023	1.00
34024	1.00
34025	1.00
34026	1.00
34027	1.00
34028	1.00
34029	1.00
34030	1.00
34031	1.00
34032	1.00
34033	1.00
34034	1.00
34035	1.00
34036	1.00
34037	1.00
34039	1.00
34041	1.00
34042	1.00
34045	1.00
34046	1.00
34047	1.00
34048	1.00
34049	1.00
34050	1.00
34053	1.00
34054	1.00
34055	1.00
34056	1.00
34057	1.00
34058	1.00
34059	1.00
34060	1.00
34061	1.00
34062	1.00
34063	1.00
34064	1.00
34065	1.00
34070	1.00
34071	1.00
34072	1.00
34077	1.00
34078	1.00
34082	1.00
34083	1.00
34084	1.00
34085	1.00
34090	1.00
34091	1.00
34092	1.00
34093	1.00
34094	1.00
34097	1.00
34099	1.00
34103	1.00
34104	1.00
34105	1.00
34109	1.00
34110	1.00
34111	1.00
34114	1.00
34115	1.00
34116	1.00
34117	1.00
34118	1.00
34119	1.00
34120	1.00
34121	1.00
34133	1.00
34134	1.00
34135	1.00
34136	1.00
34137	1.00
34141	1.00
34142	1.00
34143	1.00
34145	1.00
34146	1.00
34148	1.00
34150	1.00
34151	1.00
34152	1.00
34153	1.00
34154	1.00
34155	1.00


